symbol,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966
ODEL,,0,0,0,0,0,0,0.26,0.4,0.41,0.12,0.24,0.35,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIR,0.3,0,0,2.5,1.6,0,0.8,0.6,0.5,0.45,0.5,0.55,0.5,0.255,0.1,0.75,1.5,1,1.5,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSL,1.5,0,0,2.1,0.85,0,0.5,0.85,0.35,0.4,0.4,1.56,1,0.255,0.1,0.07,0.15,0.125,0.25,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,2,2.3,5,3.2,2.2,4.46,2.74,3.6,3.6,2.7,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHL,,0,0,0,0,0,0.05,0.1,0.08,0.07,0.06,0.05,0.05,0,0.05,0.05,0,0.07,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHCL,,0,1.5,3.5,2,0.75,0.75,2,1,2,2,1,1.5,0.5,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHUN,,0,0,0,0,0,1,1.25,0.75,1.25,1.5,1.5,1,0.7,0.5,1.5,0.5,1,0.75,0.5,0.5,2.5,0,0.75,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONN,,0,0,0,0,0,5.5,0,2,4,4.5,4.5,4,4,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPL,0.5,0,0,0,0,1,1.5,1.5,4,4.5,4,4,4,4,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRR,,0.3,0.2,0,0,0.05,0.3,0.1,0.1,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERU,,0,0,0,0,0,0,0.05,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOT,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REEF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAF,,0,0,0,0,0,0,1,0,1,1.5,1,0,1.5,0,0.5,0,0.5,0,0,0,0.5,0.4,0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDEN,,0,0,0,0,0,0,0,0,0,0,0.32,0.2,0,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHLL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITH,,0,0,0,0,0,0,0,0.09,0.1,0.12,0.12,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDEV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERV,,0,0,0,0,0,0,0,0.5,0.8,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSIG,,0,0,0,0,0,0,10,2,10,5,0,5,5,1.5,0,0,0,0,0.5,1,2.5,3,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNA,,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0.4,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHL,0.1,0,0,0,0,0,0.15,0.4,0.4,0.4,0.25,0,0,0.3,0,0,0,0,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITK,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHL,3,3,0,0,0,0,0,2.5,2,2.5,2,2,2,2,1,0,0.5,0.7,0.8,1.3,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEG,,0,0,0,0,0,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFL,0.5,0,0,0,0,0,1,0.5,0.5,0.5,0.5,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENU,,2,2,1,0,0,4,6,6,6,6,4,4,6,5.5,5.5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCH,,0.75,0.5,0.5,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,1,0,0,2.5,0,10,2.5,1,3,2.6,2.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
RPBH,,0,0,0,0,0,1,1,0.8,0.8,0.5,0.8,0.8,0.8,0.6,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHOT,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.75,0.5,0,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGV,,0,0,0,0,0,0,4,4,4,2,2,2,2,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAJ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANG,,0,0,0,0,0,1,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.6,0.5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHTL,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHC,,0,0,0,0,0,0,0.1,0.1,0.25,0.2,0.2,0.02,0.015,0.16,0,0,0,0,0,0,0,0,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEH,,36.5,0,0,0,16,30,30,30,30,22.5,22.5,20,5,5,2.5,0,0,0,1,3,17.05,7.52,2.08,8.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAN,0.5,0,0,0,0,0.5,0,3,3.5,1,3.5,3.5,3,2,2,1,1.5,0.75,2.4,5.35,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITW,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECL,,0,0,0,0,0,0,0,0.25,0,0,0.85,0.65,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH,,,,,0,0,0,0,0,0,0,0,0,0,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAR,1.36,0,2.2,2,1.6,1.15,0.75,3,4,3,3,5,2.5,2,1.5,9,11.5,1.75,1.5,1.5,1.5,1.5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINV,0.72,0,0.55,0.75,0.7,1,0.5,2,1.75,1.5,2.5,2.5,1.75,1.25,1,6.7,7,1.75,1.5,1.5,1.5,1.5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIT,1.5,0,1.2,1.2,1.2,0,1.2,1.2,1.2,1.2,1.2,1,1,1.5,1.5,1.2,1,1,1,1,0.75,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFI,1.5,0,1.2,1.2,1.2,0,1.2,1.2,1.2,1.2,1.2,1,1,2,2,1.2,1,1,1,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHL,,0,0.4,0.4,0.1,0.25,0.25,0,0.35,0.35,0.35,0.7,0.7,0.7,0.7,0.83,2,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAW,,1.5,1,1,1,1,1,1,1,1.2,2.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAPO,,2.05,1.25,0,0,0,0.4,0,0.25,0.25,1.25,0,0,0,0,132,17.5,15,10,1.5,7.5,5,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTLD,,,0,0,0,1.75,2.25,3.5,3.2,3,2.85,2.6,2,1.4,1.2,1,0.5,1.1,1.1,1,0.8,0.7,0.25,0.5,1.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CABO,,1,1,1,0,0,0,1.6,1.6,1,1.5,2.5,1.5,2,4,2.25,1,1,1.5,0.5,0,0.5,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.8,0.75,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0,0.075,0.1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMD,,7,7,7,6.5,5.5,6,5.5,5,5,5,5,4,4,4,3,3,2.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST,,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,8.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQIT,,,0,0,0,0,0,0,0,0.15,0.15,0.35,0.11,0,0,0,0,0.2,0.2,0.2,2,2,2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETWO,4.1,1,0.5,0.65,0.65,0.85,1.5,2.25,1.4,0.2,0.2,0,0,0,0.2,0.1,0,0.04,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUEJ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDL,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHDL,,0,0,0,0,0,0,0.35,0.35,0.275,0.275,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDL,,0,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONAL,1.6,2,3.8,2.7,0,0.66,1.63,3.4,3.2,3.1,2.95,2.8,2.5,2.45,2.45,2.25,2.05,1.7,1.6,1.6,1.25,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSEA,,1.35,"1,25",1.25,1.25,0,1.25,1.25,1.25,1.25,1.5,1.5,1.45,0.3,0.3,0.3,0.3,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLR,0.6,0.6,1,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDL,,0,0,0,0,3.5,5,3.75,3.5,15,3,3,3,2.75,2.5,2.2,2,2,2,2,1.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIL,0.55,0.2,0,0.2,0.25,0,0.15,0.1,0.1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLND,,25,25,25,202.78,25,25,10,25,25,25,25,25,20,15,15,14,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSD,,1.1,1,1.2,1.4,1.2,1.1,1,0.9,0.75,0.6,0.5,0.3,0.25,0.1,0,0,0,0.5,0.4,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWOD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,1.5,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORK,,0,0,0,0,0,0,0,0,0.3,0.2,0.4,0.4,0.4,0.3,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAN,,10,5,5,3,1.5,3,2,3,3,2.5,2.5,2,2,2,3.4,0,3,2.5,2.5,2,2.5,2,2,2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACL,,1.25,1.25,2,1.5,1.5,1.5,1.5,1.5,2,1,1,1,0.7,0,0,0.5,3.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLA,,20,15,15,10,6,6,6,6,6,4,2,1,1,2.5,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.25,1,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGST,,0,0,0,0.2,0,0.2,0.1,0,0.2,0.2,0.1,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFS,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUM,0.4,0,0,0.75,0.75,0,0.15,1,1.5,1.2,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOGA,,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPPL,0.35,"0,18",0,0.42,0.24,0.42,0.42,0.42,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIND,6,6,6,5,8,4,2.5,2,2.75,5.5,4.5,3,3,3,2.5,7,5.25,4.5,4.5,3.75,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAN,,23,18,0,6,18,4.5,3,2,2.5,1.1,0,0,0.14,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLUB,4,15,14,5,13,9,8.25,8,12.25,29,23,20,15,11,9,12.25,12,10.5,12.5,9.5,9.75,34,11.5,12.3,7.6,7.6,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWL,,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPL,,0,0,0,0,0,0,0,0.4,0.25,0,0,0.4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIPD,1.9,1.75,3.35,2.05,14.6,4,4.5,3,2.5,2,7,5.5,7,6,3,3.75,3,3,4.5,3,4,4,3.5,3.5,4,3,3.5,4,3.5,3.5,3.5,3,2.6,2.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
PACK,0.62,0.67,2.07,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEXP,,0,3.5,2.55,3,8.5,6,2.75,3.5,0.5,0.3,0.3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAT,0.6,0.5,0.94,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCAB,,10,6.5,6.5,4.5,4.5,3.5,3.5,3.5,4.5,3,1.5,1.5,2.5,0.5,2.75,2,2.25,6.5,3,3,3,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRE,6,5,5,5,5,2.5,5,2.5,2.5,1.5,1.85,1.65,1.45,1.4,2.5,0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LALU,,1,0,0,0,1,1.5,3.5,3,2,1,1.5,0,0.5,0.5,1.25,0.75,1.25,1.25,0.6,1.25,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERA,8.9,3.7,0,2.6,2.2,0,0,0,8,7.5,3.5,2.75,0,1.1,2.5,6.6,1.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILE,2.1,5.7,7.6,6.7,18.35,0,3.15,10,7.5,7,4.5,4,4.1,7,3.5,3.75,2.6,4.12,3.75,3.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LWL,1.7,4.7,7.2,7.7,16.7,0,3,9.5,7.5,7.5,4,2.5,3,4,2.5,2,1.73,4.2,3.75,3.65,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGL,,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAS,3.06,1.55,1.66,0.5,0.58,0.2,0.18,0.18,0.26,0.35,0.23,0.38,0.38,0.36,0.3,0,0.02,0.15,0.03,0.15,0.18,3.6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARE,,2,5.5,8,2,0,0,0,1,1.25,1,0.9,0.9,0.75,3.5,1,2,1,1,2.5,2.5,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG,,0,0,0,2.6,6.25,7.3,0,10.5,18.5,9,7,2,2.5,6,6,3,2.5,3,0,1.79,1.5,3.32,4.5,4.5,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REXP,12,12,35,28,25,24.75,18,16,16,12.5,10.4,5.15,0,0,0,1,0,0,0,0,0,0,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCL,1.6,2.9,2.9,3.75,15.2,0,4,7,9,8,5,1,2,4,2.5,1.25,2,1,2,2,2,1,1,2,5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIL,,0,2,2,2,1,2,1.25,2,2,2,2,2,2,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRA,,0,0,0,0,0.2,0,0,0.25,0.2,0.2,0,0,0,0.1,0.2,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINI,,0,0,0,0,0.92,1.57,0,13.3,6.5,0,0,0.5,1.5,15.5,2,0,2,2,2.5,2.5,0,1.5,0,0,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAD,,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARQ,1.5,0.8,1.3,2.7,7.8,0,2,3.5,1.5,1.5,0.5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJL,0.75,0.75,0.75,2.35,2.8,1.3,1.95,1.6,2.25,1.6,1.3,1.3,1.24,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKYO,,2,1.5,0,2.1,1.5,0.3,1.25,1.87,1.35,1.19,1.5,1,1.3,1,1.65,3,4,5,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKYO,,0,0,0,2.1,1.5,0.3,1.25,1.87,1.35,1.19,1.5,1,1.3,1,1.65,0.3,0.4,0.5,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLO,,5,5,5,5,0,2,2,6,6,6,3,3,4,1.5,1,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMO,,5,10,12.5,12.5,2.5,2.5,20,24,27,20,10,10,40,61,7,3,4,6,6,5,3.5,3,3,4,3,3,2,0,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHO,20,15,5,10,2,5,10,35,30,25,40,5,10,60,30,15,7.5,10,10,10,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOT,5,0,0,0,0,0,0,40,20,20,7,5,5,5,5,2,6,16,10,19,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTO,,0,0,0,0.6,0.3,0,0.5,0.5,0.6,7,6,3,4,4,3,4,2,1.5,1.5,1.5,1.25,1.25,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UML,2,1.5,2.25,2,2.5,0,4,5,5,8,6,12,10,9,3.25,1.8,1,4,4,2,2.5,1.5,1.75,2.5,4,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUKI,10.68,1.8,1.1,1,0.6,0.5,0.75,1.35,1,3,3,3,3,2.5,9,7.5,0,5,5.5,10.5,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOD,,0,0,10.77,0,0,0,0,94.49,8.21,3.72,24.51,38.73,63.7,14.05,12,4.71,4.28,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDO,,0,0,7.58,0,0,0,0,50.93,5.03,2.6,22.43,40.08,17.25,10.6,9.5,1,2.84,0.55,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELI,,0,0,9.5,0,0,0,0,73.36,8.72,5.9,37.98,57.11,60.3,20.6,12.5,3.72,5.06,2.15,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAL,,0,0,8.9,0,0,0,0,42.24,7.25,3.56,30.97,40.83,24.5,14,10,39,28.4,2.45,13.1,1,62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAL,,3.5,0,0,0,0,0,0,0,0,0,0,0,2,2.5,2.5,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGPL,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPM,,0,0,11,8,5,2,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALA,,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1.25,0.75,2,0,0,1.5,0,0,1.25,2.5,1.75,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOPL,,0,1.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0.3,0,0.5,0.5,0.5,1,1,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELPL,5.5,5,19,3,2,0.75,1.2,1.25,1,0.5,0.75,0.75,0.5,0,0.36,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
